Message Name,User ID,Sequence Number,UL Latency,Processing Time,Total Latency,Delay Budget
Offloaded Data,81,3,97.21676301095758,129.15243186488664,226.4267630109576,24.0
Offloaded Data,11,1,79.5342714286444,175.68802255377656,255.41427142864438,33.0
Offloaded Data,84,1,14.612742458243137,195.74914482960747,210.44274245824315,45.0
Offloaded Data,147,1,50.55937535728023,196.04911442930344,246.68937535728023,20.0
Offloaded Data,20,1,3.020626249876687,198.42459092094668,201.5506262498767,19.0
Offloaded Data,43,1,5.693578160128912,201.4922834438388,207.2935781601289,3.0
Offloaded Data,133,4,90.6017192642165,182.06257064763082,272.7817192642165,29.0
Offloaded Data,19,1,60.03624018406402,241.37651447119018,301.486240184064,36.0
Offloaded Data,46,1,2.911067069956376,244.47887743409802,247.56106706995638,27.0
Offloaded Data,72,1,31.194845467157954,280.68574966736617,311.95484546715795,28.0
Offloaded Data,145,2,88.21521607140328,283.3251605361225,371.5852160714033,45.0
Offloaded Data,25,1,92.49103572694759,304.4270440731182,396.9810357269476,16.0
Offloaded Data,33,4,58.1189901339432,317.06253864747083,375.2989901339432,2.0
Offloaded Data,134,1,14.328075010788218,351.1313563147804,365.5980750107882,34.0
Offloaded Data,30,1,6.798990180406883,368.4890473979132,375.3989901804069,37.0
Offloaded Data,82,1,3.408558708411536,422.7469816735262,426.2285587084115,19.0
Offloaded Data,86,1,50.65659528807891,433.8289272274315,484.56659528807893,12.0
Offloaded Data,58,1,52.74065691318198,436.99766142801803,489.910656913182,30.0
Offloaded Data,40,1,1.9455061584110351,441.2917066275866,443.41550615841106,17.0
Offloaded Data,35,2,91.74232357441201,458.12243346489464,549.922323574412,18.0
Offloaded Data,10,1,10.412091041831433,473.5058501395705,483.96209104183146,20.0
Offloaded Data,20,2,3.1327709839883364,472.4845797208906,475.7227709839883,37.0
Offloaded Data,65,28,80.12984656305746,219.47621974105044,299.63984656305746,38.0
Offloaded Data,59,1,70.90257283519844,494.53909682912746,565.5225728351985,45.0
Offloaded Data,17,4,96.52266434458684,468.5768408728222,565.1726643445868,44.0
Offloaded Data,141,1,15.425047462452532,500.78793615334456,516.4050474624526,34.0
Offloaded Data,39,1,2.362221152662114,538.3260757406985,540.7322211526621,44.0
Offloaded Data,112,1,1.5764104126244842,543.1746309211467,544.8564104126244,27.0
Offloaded Data,16,1,87.8012084874862,548.0873777505525,636.0812084874862,18.0
Offloaded Data,21,1,1.5646915017879923,549.7671152738302,551.3946915017881,36.0
Offloaded Data,43,2,4.6289293708937285,538.1424338453428,542.8789293708937,49.0
Offloaded Data,98,1,11.674665907066997,571.9168888730622,583.664665907067,18.0
Offloaded Data,113,1,70.6861089783146,586.7722458434628,657.5661089783146,43.0
Offloaded Data,43,3,1.7337687032184788,627.0527482484868,628.8937687032185,25.0
Offloaded Data,100,1,97.30627912971192,654.7585035623435,752.146279129712,26.0
Offloaded Data,26,1,75.79154985979109,669.8486720248794,745.721549859791,24.0
Offloaded Data,51,1,32.13997220042475,708.3185339624955,740.5399722004247,30.0
Offloaded Data,104,20,96.2608443057878,523.9959877402584,620.3008443057878,48.0
Offloaded Data,5,5,68.53189486558013,695.6194459670555,764.2318948655802,4.0
Offloaded Data,99,1,88.25918387248522,745.6268360727983,833.9591838724853,1.0
Offloaded Data,138,3,93.72856002998776,772.6573729505286,866.5785600299878,28.0
Offloaded Data,109,2,51.48815936735307,838.5026706477108,890.0981593673531,17.0
Offloaded Data,71,1,5.025847333622498,878.2666040687183,883.3558473336226,4.0
Offloaded Data,104,22,69.92833464885925,671.2757797392186,741.2483346488593,40.0
Offloaded Data,141,2,27.176985888192778,883.1772289498085,910.5469858881928,3.0
Offloaded Data,40,2,4.1855904805716735,906.0912986255465,910.4555904805717,42.0
Offloaded Data,29,1,5.294120367346496,919.1257533363864,924.4541203673465,6.0
Offloaded Data,135,5,52.61452851166426,887.0059189399144,939.6645285116642,39.0
Offloaded Data,145,6,68.10401092965418,880.3259333399865,948.4740109296541,49.0
Offloaded Data,65,34,59.5563625728364,605.7562861417144,665.3463625728364,1.0
Offloaded Data,82,2,13.720345443570647,956.2760408688222,970.0703454435707,23.0
Offloaded Data,56,1,12.656357145544462,969.8808331121644,982.6763571455444,42.0
Offloaded Data,36,29,96.97438664850698,700.6342405191947,797.714386648507,29.0
Offloaded Data,67,8,98.06027844769054,913.3961157408985,1011.5002784476906,41.0
Offloaded Data,84,2,35.90919455224053,1015.1287008251675,1051.1191945522405,48.0
Offloaded Data,142,1,21.3081091312447,1025.3386824249835,1046.7281091312448,9.0
Offloaded Data,57,1,25.263726037258966,1026.512156245559,1051.893726037259,16.0
Offloaded Data,118,1,6.478798202901012,1028.6817214613345,1035.218798202901,3.0
Offloaded Data,77,1,18.18449367898682,1032.5392411660314,1050.8044936789868,9.0
Offloaded Data,61,5,12.048638337018858,1029.8544341201628,1042.008638337019,45.0
