Message Name,User ID,Sequence Number,UL Latency,Processing Time,Total Latency,Delay Budget
Offloaded Data,254,1,235001000.0,118.25716007427818,235001118.32,100.0
Offloaded Data,247,1,371000999.99999994,137.3658597396185,371001137.40999997,100.0
Offloaded Data,29,1,1.9452064920114516,198.49619814083448,200.47520649201147,100.0
Offloaded Data,280,1,374000999.99999994,201.25615414039447,374001201.28999996,100.0
Offloaded Data,111,1,576001000.0,205.13553173797848,576001205.18,100.0
Offloaded Data,95,1,417000999.99999994,215.95578613925048,417001215.99999994,100.0
Offloaded Data,199,1,272000999.99999994,236.43601814041048,272001236.47999996,100.0
Offloaded Data,27,1,142.59916480606415,241.41603653921848,384.04916480606414,100.0
Offloaded Data,159,1,14.266030380437126,275.27488373473847,289.58603038043714,100.0
Offloaded Data,176,1,337000999.99999994,282.1461837406905,337001282.17999995,100.0
Offloaded Data,19,1,351000999.99999994,289.9667864725502,351001290.03999996,100.0
Offloaded Data,116,1,421000999.99999994,299.4470112727902,421001299.50999993,100.0
Offloaded Data,36,1,380000999.99999994,304.4458453395465,380001304.48999995,100.0
Offloaded Data,255,1,450000999.99999994,351.6757333389865,450001351.71999997,100.0
Offloaded Data,90,1,755001000.0,350.4915614605346,755001350.55,100.0
Offloaded Data,7,1,287000999.99999994,372.50688887306217,287001372.5799999,100.0
Offloaded Data,242,1,338000999.99999994,373.2470776734542,338001373.30999994,100.0
Offloaded Data,156,1,259000999.99999997,395.4769336732862,259001395.54999998,100.0
Offloaded Data,151,1,129.77418213848432,397.4468896715742,527.2841821384843,100.0
Offloaded Data,102,1,35.73856675956377,412.54213106338267,448.3385667595638,100.0
Offloaded Data,262,1,86.20082324595391,484.5371256739342,570.8008232459539,100.0
Offloaded Data,186,1,9.617376892873294,498.1619070622626,507.8373768928733,100.0
Offloaded Data,145,1,456000999.99999994,540.6857237389385,456001540.72999996,100.0
Offloaded Data,83,1,366000999.99999994,546.4858677396585,366001546.5299999,100.0
Offloaded Data,258,1,353000999.99999994,580.1770656733343,353001580.23999995,100.0
Offloaded Data,229,1,527001000.0,594.4569264719422,527001594.52,100.0
Offloaded Data,161,1,31.620023364889644,622.1291896300555,653.8300233648897,100.0
Offloaded Data,51,1,19.60035940119232,628.8094507670795,648.4903594011923,100.0
Offloaded Data,54,1,241001000.0,661.6969624734302,241001661.77,100.0
Offloaded Data,135,1,784001000.0,660.7251989363144,784001660.77,100.0
Offloaded Data,171,1,766001000.0,678.1852277364585,766001678.23,100.0
Offloaded Data,137,1,320000999.99999994,745.6661973408266,320001745.6999999,100.0
Offloaded Data,69,1,949001000.0,761.1958296677661,949001761.27,100.0
Offloaded Data,104,1,288000999.99999994,765.7868872730542,288001765.85999995,100.0
Offloaded Data,166,1,4.50605665991581,783.8662712699743,788.4460566599158,100.0
Offloaded Data,59,1,240.23970033988056,803.3189800279595,1043.6397003398806,100.0
Offloaded Data,49,1,330000999.99999994,812.9468200727182,330001813.0199999,100.0
Offloaded Data,188,1,425000999.99999994,820.5157733391865,425001820.55999994,100.0
Offloaded Data,144,1,773001000.0,821.4058349372025,773001821.44,100.0
Offloaded Data,297,1,290000999.99999994,820.8271160738382,290001820.8899999,100.0
Offloaded Data,179,1,459000999.99999994,826.8366136716861,459001826.90999997,100.0
