Message Name,User ID,Sequence Number,UL Latency,Processing Time,Total Latency,Delay Budget
Offloaded Data,11,1,77.18525961949449,175.68802255377656,253.0652596194945,33.0
Offloaded Data,33,1,93.71111831677831,193.2919818446868,287.12111831677834,44.0
Offloaded Data,84,1,10.58140265384905,195.74914482960747,206.41140265384905,45.0
Offloaded Data,20,1,3.1181759020765356,198.42459092094668,201.64817590207653,19.0
Offloaded Data,43,1,5.400785285747553,201.4922834438388,207.00078528574755,3.0
Offloaded Data,19,1,50.565524396460596,241.37651447119018,292.0155243964606,36.0
Offloaded Data,46,1,2.8893675159610965,244.47887743409802,247.5393675159611,27.0
Offloaded Data,78,10,95.58388091183349,178.7568808730222,274.4138809118335,17.0
Offloaded Data,72,1,29.84294862888954,280.68574966736617,310.6029486288895,28.0
Offloaded Data,75,9,88.08717046046506,276.6295803677275,364.79717046046505,27.0
Offloaded Data,65,8,73.05281002023399,295.3959413382665,368.482810020234,44.0
Offloaded Data,30,1,7.2003890316656225,368.4890473979132,375.80038903166565,37.0
Offloaded Data,88,16,61.465700923187754,264.408712633274,326.0457009231877,11.0
Offloaded Data,82,1,3.027428571356431,422.7469816735262,425.84742857135643,19.0
Offloaded Data,86,1,46.78053240065835,433.8289272274315,480.69053240065836,12.0
Offloaded Data,58,1,49.87832572153974,436.99766142801803,487.04832572153975,30.0
Offloaded Data,24,2,90.06502027183501,431.4946421212027,521.665020271835,29.0
Offloaded Data,5,2,74.29878837971532,462.39889876431954,536.7787883797154,43.0
Offloaded Data,10,1,6.350596144711522,473.5058501395705,479.9005961447115,20.0
Offloaded Data,59,1,87.77574798490868,494.53909682912746,582.3957479849087,45.0
Offloaded Data,33,3,31.182040634340552,476.4125946477508,507.7120406343405,29.0
Offloaded Data,42,1,25.774173895519734,529.9743413196987,555.8541738955198,41.0
Offloaded Data,39,1,2.7025724810925733,538.3260757406985,541.0725724810926,44.0
Offloaded Data,35,1,16.191919660172722,542.7918462619587,559.0419196601728,36.0
Offloaded Data,16,1,96.12326566920088,548.0873777505525,644.4032656692009,18.0
Offloaded Data,21,1,1.5765996381527918,549.7671152738302,551.4065996381528,36.0
Offloaded Data,43,2,3.9960617702834096,538.1424338453428,542.2460617702834,49.0
Offloaded Data,45,1,7.071471347604857,559.6443509197467,566.8214713476049,9.0
Offloaded Data,14,1,98.87407976541557,570.4008667123323,669.4140797654155,29.0
Offloaded Data,98,1,17.434278881315148,571.9168888730622,589.4242788813151,18.0
Offloaded Data,36,7,79.89830751938129,534.5560709406745,614.4983075193813,43.0
Offloaded Data,33,4,27.37385157120387,601.4125386474708,628.9038515712039,2.0
Offloaded Data,17,11,87.43537121673558,541.5568120726782,629.0653712167356,34.0
Offloaded Data,43,3,1.4518144225150709,627.0527482484868,628.6118144225151,25.0
