Message Name,User ID,Sequence Number,UL Latency,Processing Time,Total Latency,Delay Budget
Offloaded Data,245,2,64.27578046767121,88.84462612112267,153.2257804676712,39.0
Offloaded Data,274,5,79.89211976281257,123.44626934154648,203.37211976281256,22.0
Offloaded Data,84,1,30.328443007635283,195.74914482960747,226.1584430076353,45.0
Offloaded Data,43,1,13.115234796674843,201.4922834438388,214.71523479667485,3.0
Offloaded Data,154,1,10.610547534209088,202.8663432703342,213.55054753420907,46.0
Offloaded Data,225,1,15.770181642428389,208.4522286638706,224.28018164242837,28.0
Offloaded Data,215,6,95.46444712398132,203.1125114473348,298.6944471239813,7.0
Offloaded Data,211,10,86.90432613463427,174.33209544525482,261.3543261346343,3.0
Offloaded Data,30,1,7.256843679912427,368.4890473979132,375.85684367991246,37.0
Offloaded Data,166,1,4.160092295634517,397.9165048711422,402.1500922956345,46.0
Offloaded Data,173,2,24.120855179592645,389.76694487334214,413.9608551795926,35.0
Offloaded Data,206,1,20.627447933370817,407.4089344275035,428.11744793337084,19.0
Offloaded Data,40,1,6.786616199320417,441.2917066275866,448.25661619932043,17.0
Offloaded Data,283,1,21.60901824176942,476.4313930417428,498.15901824176945,12.0
Offloaded Data,141,1,21.012471055730106,500.78793615334456,521.9924710557301,34.0
Offloaded Data,39,1,11.51807192976536,538.3260757406985,549.8880719297654,44.0
Offloaded Data,21,1,1.5728671820747686,549.7671152738302,551.4028671820748,36.0
Offloaded Data,43,2,11.738407583320711,538.1424338453428,549.9884075833207,49.0
Offloaded Data,98,1,40.78466557354489,571.9168888730622,612.7746655735449,18.0
Offloaded Data,208,1,3.158869703833341,574.778786233642,578.1088697038334,46.0
Offloaded Data,299,9,47.611431506015755,495.3795755677035,543.0714315060158,7.0
Offloaded Data,215,10,87.72701749629533,488.70209864527084,576.5470174962953,1.0
Offloaded Data,170,1,4.845368657492948,637.4926634476388,642.445368657493,38.0
Offloaded Data,43,3,3.31796697337897,627.0527482484868,630.4779669733789,25.0
Offloaded Data,138,1,54.20807787300393,688.1680433538805,742.568077873004,41.0
Offloaded Data,39,2,30.49605926954879,691.1359253399464,721.6760592695488,40.0
Offloaded Data,51,1,46.460834441587814,708.3185339624955,754.8608344415878,30.0
Offloaded Data,219,1,7.552355338051766,711.7724362469588,719.4423553380517,25.0
Offloaded Data,245,5,55.76789799484919,682.0046469212267,737.8778979948491,8.0
Offloaded Data,154,2,14.562701615587974,725.2962888700622,739.932701615588,15.0
Offloaded Data,170,2,3.874854324870089,735.7826786477908,739.76485432487,13.0
Offloaded Data,211,11,45.98396668770069,667.7224602470789,713.8239666877007,17.0
Offloaded Data,205,1,83.95273664285367,812.0287451635515,896.0627366428537,1.0
Offloaded Data,170,3,4.432491343003317,817.4126562475668,821.9524913430033,13.0
Offloaded Data,246,1,5.760989000891144,846.9663672704542,852.8009890008911,23.0
Offloaded Data,276,1,67.17236291046761,860.2992123658875,927.5523629104677,30.0
Offloaded Data,175,1,31.71927917811869,876.808178230602,908.6992791781187,11.0
Offloaded Data,71,1,5.054918139415794,878.2666040687183,883.3849181394158,4.0
Offloaded Data,141,2,47.66669661884091,883.1772289498085,931.0366966188409,3.0
Offloaded Data,165,15,45.68968531057503,755.1656741386905,800.899685310575,20.0
Offloaded Data,201,1,18.99383145515522,902.0347077215307,921.1338314551552,34.0
Offloaded Data,40,2,17.907692813762562,906.0912986255465,924.1776928137625,42.0
Offloaded Data,29,1,5.279700656069136,919.1257533363864,924.4397006560691,6.0
Offloaded Data,213,1,54.282501252498186,965.0376017516726,1019.5125012524982,49.0
Offloaded Data,211,12,85.82540415966557,862.6920810451827,948.6354041596655,22.0
Offloaded Data,170,4,7.185351918671035,955.6225234462388,962.915351918671,30.0
Offloaded Data,159,1,8.36914543591741,999.1153381370104,1007.5291454359174,31.0
Offloaded Data,45,7,99.92128962687028,938.7142453192188,1038.7412896268702,43.0
Offloaded Data,234,1,44.43020684667553,1011.4941701188427,1056.0302068466754,3.0
Offloaded Data,142,1,47.15054208233127,1025.3386824249835,1072.5705420823313,9.0
Offloaded Data,186,1,19.614438108818025,1026.3012238588465,1045.9744381088178,46.0
Offloaded Data,118,1,14.1095702643911,1028.6817214613345,1042.849570264391,3.0
Offloaded Data,77,1,93.73192993379973,1032.5392411660314,1126.3519299337995,9.0
Offloaded Data,167,1,3.7801750273953347,1036.9313322257144,1040.8901750273953,42.0
Offloaded Data,185,1,22.51177141402241,1045.0544021200028,1067.6717714140225,9.0
Offloaded Data,225,2,18.81328573290378,1055.2424126647907,1074.1132857329037,40.0
Offloaded Data,216,1,62.18731013495275,1081.3895035673436,1143.6573101349527,11.0
Offloaded Data,46,1,14.803538862324817,1089.5188774340982,1104.4935388623248,27.0
Offloaded Data,181,1,27.847169579347426,1098.1638149170667,1126.1171695793473,38.0
Offloaded Data,102,1,23.1094737695472,1113.0420078627665,1136.209473769547,23.0
Offloaded Data,82,10,88.54511736778139,1032.6264248707423,1121.2451173677814,41.0
Offloaded Data,30,2,2.9905447795287152,1116.479778601569,1119.5805447795287,14.0
Offloaded Data,134,1,23.857221684458548,1166.9013563147803,1190.8972216844586,34.0
Offloaded Data,207,1,85.47207063199153,1191.7935461157228,1277.3720706319916,49.0
Offloaded Data,160,1,7.440375233574415,1227.7255493380665,1235.2103752335745,36.0
Offloaded Data,129,1,45.81576191766598,1228.9894683671675,1274.8857619176658,46.0
Offloaded Data,219,2,25.89972823454001,1227.5717786436708,1253.58972823454,5.0
Offloaded Data,238,2,48.94850713891959,1229.1319786446709,1278.1985071389197,44.0
Offloaded Data,43,4,5.78505931548534,1207.9025850468547,1213.7950593154853,42.0
Offloaded Data,162,1,86.48611421815002,1274.8089008271675,1361.3761142181502,16.0
Offloaded Data,44,1,7.89953174051676,1274.6362040696383,1282.6095317405168,44.0
Offloaded Data,227,1,2.5479305101043965,1283.5047013214985,1286.1579305101043,21.0
Offloaded Data,39,3,45.142197917623754,1268.7451893362665,1313.9321979176236,32.0
Offloaded Data,299,10,66.97423388859798,1224.7092875662636,1291.764233888598,22.0
Offloaded Data,126,2,35.59729591196723,1307.9823898467266,1343.697295911967,7.0
Offloaded Data,281,1,11.327896582153443,1330.2115626268667,1341.7178965821536,17.0
Offloaded Data,71,2,1.679347883009031,1347.3671080737583,1349.1093478830091,20.0
Offloaded Data,207,2,17.22657340436991,1362.7945381206828,1380.12657340437,28.0
Offloaded Data,56,1,12.512961260838573,1375.3708331121645,1388.0229612608387,42.0
Offloaded Data,142,2,18.40108327151758,1411.5889184273435,1430.0710832715176,16.0
Offloaded Data,21,2,1.8704296269595784,1448.547064073318,1450.4804296269594,20.0
Offloaded Data,283,2,11.160796816933553,1447.9821146453507,1459.2607968169334,48.0
Offloaded Data,47,2,67.47596918246506,1466.791946644511,1534.3859691824653,20.0
Offloaded Data,219,3,8.215705968776563,1465.2723258464068,1473.6057059687766,11.0
Offloaded Data,82,19,48.551521903681824,1315.2768584729101,1363.9015219036817,3.0
